area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Super built-up  Area,Ready To Move,Hulimavu,naepa d,1320,2,2,59,3
Carpet  Area,Not ready,Bikasipura,independent,1450,3,2,68,3
Super built-up  Area,Ready To Move,Poorna Pragna Layout,independent,1270,2,3,50.79,3
Super built-up  Area,Ready To Move,Hegde Nagar,soitaca,1847,3,2,123,3
Super built-up  Area,Not ready,Devanahalli,pardsri,1020,2,1,49.87,1
Super built-up  Area,Ready To Move,Somasundara Palya,manceel,1650,3,2,95,3
Super built-up  Area,Ready To Move,Richmond Town,independent,2380,4,3,242,4
Built-up  Area,Ready To Move,Electronic City,independent,2400,2,2,78,3
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1160,2,2,44,2
Super built-up  Area,Not ready,Haralur Road,snnia e,2805,4,3,154,4
Super built-up  Area,Not ready,Mysore Road,gopia o,1360,3,0,47.6,3
Super built-up  Area,Ready To Move,Brookefield,saandvi,1089,2,1,49,2
Super built-up  Area,Ready To Move,Yelahanka,reverve,1115,2,2,60,2
Super built-up  Area,Ready To Move,Kudlu Gate,independent,1215,2,1,45,2
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1194,2,1,51,2
Super built-up  Area,Not ready,Kannamangala,sonue a,1536,3,1,104,3
Super built-up  Area,Ready To Move,Hennur,independent,1255,2,2,55.5,2
Super built-up  Area,Not ready,Electronic City,prarkun,1571,3,2,83,3
Plot  Area,Ready To Move,Virupakshapura,independent,900,1,0,70,2
Super built-up  Area,Ready To Move,Keshava Nagar,etens g,1517,2,2,125,2
Super built-up  Area,Ready To Move,Budigere,pritytr,664,1,1,35.4,1
Super built-up  Area,Ready To Move, Devarachikkanahalli,wiaysld,1230,2,1,58,2
Super built-up  Area,Ready To Move,Hegde Nagar,inaadd ,1340,2,2,72,2
Super built-up  Area,Ready To Move,Attibele,dsvar s,1175,2,1,29.38,2
Super built-up  Area,Ready To Move,Sarjapur,independent,1240,2,2,43.1,2
Super built-up  Area,Ready To Move,Electronic City,dsgmax ,1470,2,1,44.1,3
Super built-up  Area,Not ready,Kanakpura Road,prarepa,525,2,2,29.25,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1680,3,2,117,3
Super built-up  Area,Ready To Move,Sri Sai Layout,independent,1000,2,2,35,2
Super built-up  Area,Ready To Move,Gunjur,myhtshe,1071,2,1,51,2
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,ndpalse,1512,3,2,80,3
Built-up  Area,Ready To Move,Frazer Town,asuilnc,3435,2,1,341,4
Super built-up  Area,Not ready,Thanisandra main road,independent,3144,3,1,455,3
Built-up  Area,Ready To Move,Kalyan nagar,saacela,1190,2,1,60,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,maidopl,1550,2,3,80,3
Super built-up  Area,Not ready,Kanakpura Road,golusli,1283,2,2,63.22,2
Built-up  Area,Ready To Move,Mallasandra,gmilse ,1325,2,2,73,2
Super built-up  Area,Ready To Move,Whitefield,smuilan,1105,2,1,35.36,2
Super built-up  Area,Ready To Move,Banaswadi,srldsri,1600,3,2,74.5,3
Plot  Area,Ready To Move,Devara Jeevanahalli,independent,400,2,2,35,4
Super built-up  Area,Not ready,Kanakpura Road,prarepa,700,2,2,41.145,2
Super built-up  Area,Ready To Move,Hennur,independent,1100,2,1,44.55,2
Super built-up  Area,Not ready,Talaghattapura,sodgere,2099,3,3,147,3
Super built-up  Area,Ready To Move,Yelachenahalli,baiseba,1365,2,1,72,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,goateds,1485,3,3,132,2
Super built-up  Area,Ready To Move,Hosur Road,kelmsoy,1250,2,1,55,2
Super built-up  Area,Ready To Move,Chikkalasandra,independent,1290,2,2,56.12,3
Super built-up  Area,Ready To Move,Bellandur,independent,1170,2,1,46.79,2
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1328,2,3,91.06,2
Super built-up  Area,Not ready,Hennur Road,puachal,1232,2,1,87,2
Super built-up  Area,Ready To Move,1st Phase JP Nagar,independent,1180,2,2,88.5,2
Super built-up  Area,Ready To Move,Electronic City,palleon,1350,3,2,66,3
Super built-up  Area,Not ready,Nagawara Junction,independent,3602,4,2,280,4
Super built-up  Area,Ready To Move,Nagasandra,independent,2400,4,1,145,4
Super built-up  Area,Ready To Move,Electronic City Phase II,prvanai,1020,2,2,32,2
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1410,2,3,49.34,3
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,prbayga,2159,3,2,120,3
Plot  Area,Not ready,Anekal,vaensnd,1453,2,2,16.5,2.6
Super built-up  Area,Not ready,TC Palaya,independent,1200,2,0,66,3
Super built-up  Area,Ready To Move,Hennur,shateor,1255,2,1,57.5,2
Super built-up  Area,Not ready,Whitefield,aripsul,1074,2,1,42.79,2
Plot  Area,Not ready,Suragajakkanahalli,prhyak ,1200,3,2,72,3
Super built-up  Area,Not ready,Sarjapur,snityve,1170,2,2,35.41,3
Super built-up  Area,Not ready,Tumkur Road,coowsri,596,1,0,31.315,1
Super built-up  Area,Ready To Move,Bommanahalli,pindswo,1660,2,2,100,3
Plot  Area,Ready To Move,Gattigere,independent,900,6,1,95,5
Built-up  Area,Ready To Move,SK Garden,independent,1850,3,0,175,6
Built-up  Area,Ready To Move,Gowdanapalya,independent,510,1,0,34,1
Super built-up  Area,Ready To Move,Mahadevpura,neony h,1601,3,2,95,3
Super built-up  Area,Not ready,Begur Road,independent,952,2,1,42,2
Super built-up  Area,Ready To Move,PNS Layout,independent,1166,2,3,65,2
Built-up  Area,Ready To Move,Venkatapura,thbayah,2700,2,1,260,3
Built-up  Area,Ready To Move,Electronic City Phase II,rie 2 p,1900,3,1,97,4
Plot  Area,Ready To Move,Mathikere,independent,1350,2,0,175,3
Super built-up  Area,Not ready,Haralur Road,snnia e,1520,2,2,96,3
Plot  Area,Ready To Move,Harsha Layout,independent,2100,6,3,100,4
Super built-up  Area,Ready To Move,Yelenahalli,independent,1175,2,2,50,2
Super built-up  Area,Ready To Move,Bharathi Nagar,reudepr,1432,2,2,68,2
Super built-up  Area,Not ready,Bommasandra Industrial Area,independent,1005,2,1,39.77,2
Super built-up  Area,Ready To Move,Rajiv Nagar,independent,1309,2,1,80,2
Super built-up  Area,Ready To Move,Dairy Circle,soeurri,2251,4,2,370,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1050,2,1,77,2
Super built-up  Area,Not ready,Kanakpura Road,prarepa,1100,3,2,53,3
Plot  Area,Ready To Move,Sanjay nagar,independent,2400,3,3,310,3
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1565,2,2,56.34,3
Built-up  Area,Ready To Move,1st Stage Indira Nagar,independent,940,2,1,56,2
Super built-up  Area,Not ready,Yarandahalli,independent,1015,2,1,40.1,2
Plot  Area,Ready To Move,BTM 2nd Stage,independent,2400,2,0,360,3
Super built-up  Area,Ready To Move,Electronic City,sjityve,1652,3,3,110,3
Super built-up  Area,Ready To Move,Whitefield,independent,1100,2,2,52,2
Super built-up  Area,Ready To Move,Rajiv Nagar,puoodsk,2340,4,1,145,4
Super built-up  Area,Not ready,Koramangala,g ceses,1084,2,1,179,2
Plot  Area,Ready To Move,Kammanahalli,independent,1200,1,1,81,2
Super built-up  Area,Ready To Move,Kacharakanahalli,jpoldgo,1400,3,3,69,3
Plot  Area,Not ready,HBR Layout,independent,2400,5,0,320,4
Super built-up  Area,Not ready,Electronic City Phase II,sryalan,1020,2,1,27.43,2
Super built-up  Area,Ready To Move,Whitefield,pritado,1267,2,1,90.33,2
Super built-up  Area,Ready To Move,Bhoganhalli,pride s,2439,4,3,185,4
Built-up  Area,Ready To Move,Ashwath Nagar,sjcerpe,1645,3,2,95,3
Super built-up  Area,Ready To Move,Sahakara Nagar,independent,1100,2,2,75,3
Built-up  Area,Not ready,Electronic City,independent,1320,2,1,38.12,3
Super built-up  Area,Not ready,Ananth Nagar,independent,1000,2,1,29.7,2
Built-up  Area,Ready To Move,KR Puram,independent,2500,6,3,58,6
Plot  Area,Ready To Move,Kengeri Satellite Town,independent,2480,2,1,160,2
Built-up  Area,Ready To Move,Kalyan nagar,jraderc,1086,2,2,44.5,2
Super built-up  Area,Not ready,Kengeri,vbn 2lm,416,1,1,18,1
Built-up  Area,Ready To Move,Hennur Road,koagati,1066,2,1,52.23,2
Super built-up  Area,Ready To Move,OMBR Layout,inntsa ,1730,3,1,93,3
Super built-up  Area,Not ready,Balagere,soresea,1205,2,1,63.86,2
Super built-up  Area,Ready To Move,Marathahalli,prionad,2500,5,2,175,4
Super built-up  Area,Ready To Move,Subramanyapura,dstik s,960,2,1,55,2
Super built-up  Area,Not ready,Haralur Road,snnia e,1510,3,2,83.05,3
Built-up  Area,Ready To Move,Kanaka Nagar,independent,1600,4,2,90,4
Built-up  Area,Ready To Move,Old Madras Road,grlas v,2300,3,2,142,3
Built-up  Area,Ready To Move,Jakkasandra Extension,independent,1000,2,1,63,2
Super built-up  Area,Ready To Move,Poorna Pragna Layout,independent,1160,2,1,46.39,2
Super built-up  Area,Not ready,Hormavu,independent,1553,2,2,58.23,3
Super built-up  Area,Ready To Move,Frazer Town,asuilnc,3436,5,2,345,4
Super built-up  Area,Not ready,Seegehalli,independent,1134,2,2,45,2
Plot  Area,Ready To Move,Nagasandra,independent,600,4,2,80,4
Plot  Area,Ready To Move,Horamavu Agara,independent,2400,3,3,80,5
Plot  Area,Not ready,Whitefield,independent,2400,4,1,143,4
Super built-up  Area,Ready To Move,Nagashetty Halli,independent,1350,2,2,65,2
Super built-up  Area,Ready To Move,Sarjapur,independent,1032,2,1,42,2
Super built-up  Area,Ready To Move,Tigalarpalya,spess c,1998,3,2,117,3
Super built-up  Area,Not ready,Murugeshpalya,independent,1225,2,2,48,2
Super built-up  Area,Ready To Move,Sarjapur  Road,contsci,1262,2,2,67,2
Super built-up  Area,Not ready,Badavala Nagar,dnncasa,1842,3,2,115,3
Super built-up  Area,Ready To Move,Thomas Town,tuitein,1300,2,2,60,2
Super built-up  Area,Not ready,Kothannur,independent,1070,2,2,38.6,2
Built-up  Area,Not ready,"Electronic city Phase 1, ",independent,950,2,1,33,2
Super built-up  Area,Not ready,Balagere,soresea,1012,2,1,53.58,2
Built-up  Area,Ready To Move,TC Palaya,independent,1000,2,0,70,2
Super built-up  Area,Ready To Move,Kadugodi,kmnorab,1394,2,2,56,2
Super built-up  Area,Ready To Move,Amruthahalli,prentra,1450,2,1,85,3
Super built-up  Area,Ready To Move, Banaswadi,krntsee,527,1,0,35,1
Super built-up  Area,Ready To Move,Sarjapur  Road,adeatlm,1693,3,2,125,3
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,3122,6,2,235,4
Super built-up  Area,Ready To Move,Horamavu Agara,dsireso,1000,2,1,46,2
Built-up  Area,Ready To Move,Kogilu,independent,952,2,2,49,2
Super built-up  Area,Ready To Move,Malleshwaram,maens g,2050,4,2,270,3
Super built-up  Area,Ready To Move,Kengeri,independent,1200,1,1,14,1
Super built-up  Area,Not ready,Mysore Road,brama p,1410,2,2,64,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,goateds,1400,2,2,108,2
Plot  Area,Ready To Move,Chikka Tirupathi,theanmp,3056,5,2,100,4
Super built-up  Area,Ready To Move,Sarjapur  Road,saitya ,1826,3,2,125,3
Super built-up  Area,Not ready,Hosur Road,puendwe,1689,3,2,103,3
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,31,3
Super built-up  Area,Ready To Move,Hennur,independent,960,2,1,48,2
Built-up  Area,Ready To Move,Channasandra,independent,808,2,1,40,2
Super built-up  Area,Ready To Move,Kodichikkanahalli,independent,907,2,2,38.5,2
Super built-up  Area,Ready To Move,Uttarahalli,akncyre,1300,2,2,55,2
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,sodilda,1804,3,2,150,3
Super built-up  Area,Ready To Move,Naidu Layout,independent,1350,3,2,81,3
Super built-up  Area,Ready To Move,Whitefield,priew p,1836,3,2,125,3
Super built-up  Area,Ready To Move,Sugama Layout,pry 2 r,826,2,2,36,2
Super built-up  Area,Ready To Move,Hormavu,undraro,1200,2,3,68,2
Super built-up  Area,Not ready,1st Block Koramangala,independent,3000,3,3,300,4
Plot  Area,Ready To Move,Indira Nagar,independent,2400,4,2,405,4
Super built-up  Area,Ready To Move,6th Phase JP Nagar,jclyner,1460,2,2,80,2
Plot  Area,Ready To Move,Hoskote,dhistee,1200,4,3,140,4
Super built-up  Area,Ready To Move,BTM 2nd Stage,vincyat,965,2,2,56,2
Carpet  Area,Ready To Move,Kothannur,independent,2000,4,2,95,4
Super built-up  Area,Ready To Move,Bhoganhalli,amconi ,1395,2,2,70,3
Super built-up  Area,Ready To Move,Sarjapur  Road,dsndsod,1660,3,2,116,3
Super built-up  Area,Ready To Move,Kada Agrahara,independent,935,2,2,35,2
Super built-up  Area,Ready To Move,Hongasandra,srrtsu ,1180,2,1,39,2
Built-up  Area,Not ready,Electronic City,independent,1090,2,1,31.48,2
Super built-up  Area,Not ready,Kanakpura Road,prityfa,1204,2,1,82,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072,4,2,153,3
Built-up  Area,Ready To Move,Haralur Road,zostaa ,1056,2,1,65,2
Super built-up  Area,Not ready,Hebbal,magiaya,985,2,2,62,2
Super built-up  Area,Ready To Move,Banashankari Stage V,independent,1315,2,2,49,3
Built-up  Area,Ready To Move,KR Puram,independent,734,2,1,22,2
Built-up  Area,Ready To Move,Kammanahalli,independent,2900,4,2,200,4
Super built-up  Area,Ready To Move,Yelahanka,niareum,2317,4,3,140,3
Built-up  Area,Ready To Move,Singasandra,independent,600,1,0,45,1
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,independent,2200,3,0,115,4
Super built-up  Area,Ready To Move,Attibele,jae 2hu,656,2,1,25,2
Built-up  Area,Ready To Move,Attibele,jae 2hu,400,1,1,11.5,1
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,666,1,1,36.8,1
Plot  Area,Ready To Move,Kadubeesanahalli,independent,3293,5,2,425,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,shncyes,1174,2,1,47,2
Super built-up  Area,Ready To Move,Budigere,pritytr,1153,2,2,56.7,2
Plot  Area,Ready To Move,Jalahalli,independent,1000,4,1,90,4
Built-up  Area,Ready To Move,Narayanapura,independent,2400,5,2,85,5
Super built-up  Area,Ready To Move,Marathahalli,independent,957,2,1,47,2
Built-up  Area,Ready To Move,Banashankari Stage III,say 3 r,910,2,2,160,2
Built-up  Area,Not ready,Sarjapur  Road,independent,1060,2,1,50,2
Super built-up  Area,Not ready,Banashankari,independent,1000,2,1,50,2
Super built-up  Area,Ready To Move,Kanakpura Road,puandhi,1843,3,2,88,3
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1150,2,2,40.25,3
Super built-up  Area,Not ready,Chandapura,suncees,1230,2,2,31.37,3
Super built-up  Area,Ready To Move,Kodihalli,soianal,3197,5,2,335,4
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1703,3,2,130,3
Super built-up  Area,Ready To Move,Kaval Byrasandra,dencyre,1125,2,1,41.5,2
Super built-up  Area,Ready To Move,Battarahalli,sravehi,1516,3,3,65,3
Super built-up  Area,Ready To Move,Brookefield,srluei ,1130,2,2,56,2
Super built-up  Area,Ready To Move,Iblur Village,emine p,3596,5,1,279,4
Super built-up  Area,Not ready,Hosa Road,sosisic,1512,3,2,103,3
Built-up  Area,Ready To Move,Thanisandra,bhmesy ,1491,3,1,88,3
Super built-up  Area,Ready To Move,Cox Town,eledst ,1250,2,2,95,2
Super built-up  Area,Not ready,Banashankari,independent,1650,3,2,90.75,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1140,2,1,48.7,2
Plot  Area,Ready To Move,Behind Don Bosco Church,independent,1200,4,1,110,4
Super built-up  Area,Ready To Move,Thanisandra,rehtsna,1881,3,2,95,3
Super built-up  Area,Not ready,Kanakpura Road,prarepa,1100,3,2,56.57,3
Super built-up  Area,Ready To Move,Iblur Village,emine p,2666,4,1,200,3
Super built-up  Area,Ready To Move,Bagalur,independent,1500,2,1,50,2
Super built-up  Area,Not ready,Seshadripuram,independent,1217,2,1,164,2
Built-up  Area,Ready To Move,Whitefield,independent,1197,2,1,50,2
Built-up  Area,Ready To Move,BHEL Layout,independent,2400,4,1,170,6
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,mauner ,1345,3,2,60,3
Plot  Area,Ready To Move,KR Puram,ijent a,1200,4,2,100,4
Super built-up  Area,Ready To Move,Bannerghatta Road,anineu ,3230,5,0,165,4
Super built-up  Area,Ready To Move,Banashankari Stage II,independent,1260,2,1,95,3
Built-up  Area,Ready To Move,Sarjapur  Road,vamarll,2750,5,1,240,4
Plot  Area,Ready To Move,9th Phase JP Nagar,independent,1200,2,0,80,2
Built-up  Area,Ready To Move,Devara Jeevanahalli,independent,1650,3,0,52,3
Super built-up  Area,Ready To Move,1st Block HBR Layout,independent,600,1,0,45,1
Super built-up  Area,Ready To Move,Uttarahalli,shony s,1025,2,1,35.88,2
Super built-up  Area,Not ready,Sarjapur,kinuerg,1925,2,2,80.59,4
Super built-up  Area,Ready To Move,Hennur Road,koagati,973,2,1,56,2
Super built-up  Area,Ready To Move,Rajaji Nagar,pheston,2533,3,3,425,3
Super built-up  Area,Ready To Move,Balagere,soresea,1007,2,1,75,2
Super built-up  Area,Not ready,Hosa Road,skume r,615,1,0,39.99,1
Built-up  Area,Not ready,Sarjapur  Road,independent,1830,3,1,119,3
Super built-up  Area,Ready To Move,Nagavara,independent,1077,2,1,50,2
Plot  Area,Ready To Move,Immadihalli,independent,672,1,1,27,1
Plot  Area,Ready To Move,Shanthi Layout,independent,1280,3,0,87,3
Built-up  Area,Ready To Move,Electronics City Phase 1,independent,865,2,0,40,2
Super built-up  Area,Ready To Move,Kalena Agrahara,aromee ,1000,2,2,33,2
Super built-up  Area,Ready To Move,CV Raman Nagar,chhamku,1285,2,2,65,2
Super built-up  Area,Ready To Move,Thanisandra,pronyt ,662,1,1,29,1
Plot  Area,Ready To Move,Whitefield,proaksi,2297,5,2,269,5
Plot  Area,Ready To Move,Sarjapura - Attibele Road,independent,3750,6,3,295,5
Super built-up  Area,Ready To Move,Kalkere,sothin ,1850,3,3,95,3
Super built-up  Area,Ready To Move,Harlur,independent,1754,3,2,132,3
Plot  Area,Ready To Move,Hennur Bande,independent,1200,4,2,150,5
Plot  Area,Ready To Move,1st Phase JP Nagar,independent,2200,7,2,350,5
Super built-up  Area,Ready To Move,Anugrah Layout,saavena,1567,3,1,100,3
Super built-up  Area,Ready To Move,Hoskote,thiced ,1695,3,3,50,3
Plot  Area,Ready To Move,Hosahalli Extension,independent,360,2,1,40,2
Super built-up  Area,Ready To Move,Bellandur,srdids ,1150,2,1,69.44,2
Super built-up  Area,Ready To Move,Akshaya Nagar,dlhtsnd,1690,3,2,85,3
Built-up  Area,Not ready,1st Block Koramangala,independent,2350,3,2,210,3
Super built-up  Area,Ready To Move,Karuna Nagar,ajityin,1057,2,1,65,2
Super built-up  Area,Not ready,Hebbal,raard b,1320,2,1,91,2
Super built-up  Area,Not ready,Bhoganhalli,rosha i,2119,4,3,111,4
Super built-up  Area,Ready To Move,Bandepalya,jaity h,1125,2,1,48,2
Super built-up  Area,Not ready,Kanakpura Road,independent,2254,3,2,170,3
Super built-up  Area,Not ready,Balagere,soresea,645,1,1,34.18,1
Super built-up  Area,Ready To Move,Rachenahalli,independent,1050,2,2,52.08,2
Super built-up  Area,Not ready,Panathur,saite g,1040,2,1,41.6,2
Super built-up  Area,Not ready,Sarjapur  Road,pualesk,1700,3,1,194,3
Super built-up  Area,Ready To Move,1st Block Jayanagar,independent,1760,3,2,115,3
Super built-up  Area,Not ready,Bellandur,nicodca,1138,3,2,128,3
Super built-up  Area,Not ready,Sarjapur  Road,asastde,984,2,1,45.91,2
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1140,2,2,38.65,2
Super built-up  Area,Not ready,Whitefield,eznuee ,3596,3,1,200,3
Super built-up  Area,Ready To Move,Kalkere,independent,1365,3,2,54,3
Super built-up  Area,Ready To Move,Bethel Nagar,independent,560,1,0,19,1
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404,2,1,75,2
Super built-up  Area,Ready To Move,Bellandur,independent,1540,4,3,45,4
Built-up  Area,Ready To Move,Electronic City,kbityo ,1050,2,1,39,3
Plot  Area,Ready To Move,Lingarajapuram,independent,360,4,3,37,4
Super built-up  Area,Ready To Move,Rachenahalli,sovar s,1550,3,3,72.5,3
Super built-up  Area,Ready To Move,Yelahanka,niareum,1653,3,3,93,3
Super built-up  Area,Ready To Move,Parappana Agrahara,peide l,1194,2,2,47,2
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,krite d,1471,2,3,75,3
Super built-up  Area,Not ready,Kanakpura Road,independent,700,2,1,35,2
Built-up  Area,Ready To Move,Kudlu Gate,wharl p,812,2,1,38.25,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,grhtsei,1504,2,2,83,3
Super built-up  Area,Ready To Move,Mahadevpura,independent,1450,3,2,75,3
Super built-up  Area,Ready To Move,Kannamangala,vbownre,957,2,2,54.5,2
Carpet  Area,Ready To Move,Attibele,jae 1hu,460,1,1,13,1
Plot  Area,Ready To Move,poornaprajna layout,independent,900,2,0,128,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1050,2,1,75,2
